chr - hs15 15 0 101991189 chr15
band hs15 p13 p13 0 4200000 gvar
band hs15 p12 p12 4200000 9700000 stalk
band hs15 p11.2 p11.2 9700000 17500000 gvar
band hs15 p11.1 p11.1 17500000 19000000 acen
band hs15 q11.1 q11.1 19000000 20500000 acen
band hs15 q11.2 q11.2 20500000 25500000 gneg
band hs15 q12 q12 25500000 27800000 gpos50
band hs15 q13.1 q13.1 27800000 30000000 gneg
band hs15 q13.2 q13.2 30000000 30900000 gpos50
band hs15 q13.3 q13.3 30900000 33400000 gneg
band hs15 q14 q14 33400000 39800000 gpos75
band hs15 q15.1 q15.1 39800000 42500000 gneg
band hs15 q15.2 q15.2 42500000 43300000 gpos25
band hs15 q15.3 q15.3 43300000 44500000 gneg
band hs15 q21.1 q21.1 44500000 49200000 gpos75
band hs15 q21.2 q21.2 49200000 52600000 gneg
band hs15 q21.3 q21.3 52600000 58800000 gpos75
band hs15 q22.1 q22.1 58800000 59000000 gneg
band hs15 q22.2 q22.2 59000000 63400000 gpos25
band hs15 q22.31 q22.31 63400000 66900000 gneg
band hs15 q22.32 q22.32 66900000 67000000 gpos25
band hs15 q22.33 q22.33 67000000 67200000 gneg
band hs15 q23 q23 67200000 72400000 gpos25
band hs15 q24.1 q24.1 72400000 74900000 gneg
band hs15 q24.2 q24.2 74900000 76300000 gpos25
band hs15 q24.3 q24.3 76300000 78000000 gneg
band hs15 q25.1 q25.1 78000000 81400000 gpos50
band hs15 q25.2 q25.2 81400000 84700000 gneg
band hs15 q25.3 q25.3 84700000 88500000 gpos50
band hs15 q26.1 q26.1 88500000 93800000 gneg
band hs15 q26.2 q26.2 93800000 98000000 gpos50
band hs15 q26.3 q26.3 98000000 101991189 gneg
