chr - hs16 16 0 90338345 chr16
band hs16 p13.3 p13.3 0 7800000 gneg
band hs16 p13.2 p13.2 7800000 10400000 gpos50
band hs16 p13.13 p13.13 10400000 12500000 gneg
band hs16 p13.12 p13.12 12500000 14700000 gpos50
band hs16 p13.11 p13.11 14700000 16700000 gneg
band hs16 p12.3 p12.3 16700000 21200000 gpos50
band hs16 p12.2 p12.2 21200000 24200000 gneg
band hs16 p12.1 p12.1 24200000 28500000 gpos50
band hs16 p11.2 p11.2 28500000 35300000 gneg
band hs16 p11.1 p11.1 35300000 36800000 acen
band hs16 q11.1 q11.1 36800000 38400000 acen
band hs16 q11.2 q11.2 38400000 47000000 gvar
band hs16 q12.1 q12.1 47000000 52600000 gneg
band hs16 q12.2 q12.2 52600000 56000000 gpos50
band hs16 q13 q13 56000000 57300000 gneg
band hs16 q21 q21 57300000 66600000 gpos100
band hs16 q22.1 q22.1 66600000 70800000 gneg
band hs16 q22.2 q22.2 70800000 72800000 gpos50
band hs16 q22.3 q22.3 72800000 74100000 gneg
band hs16 q23.1 q23.1 74100000 79200000 gpos75
band hs16 q23.2 q23.2 79200000 81600000 gneg
band hs16 q23.3 q23.3 81600000 84100000 gpos50
band hs16 q24.1 q24.1 84100000 87000000 gneg
band hs16 q24.2 q24.2 87000000 88700000 gpos25
band hs16 q24.3 q24.3 88700000 90338345 gneg
