chr - hs4 4 0 190214555 chr4
band hs4 p16.3 p16.3 0 4500000 gneg
band hs4 p16.2 p16.2 4500000 6000000 gpos25
band hs4 p16.1 p16.1 6000000 11300000 gneg
band hs4 p15.33 p15.33 11300000 15000000 gpos50
band hs4 p15.32 p15.32 15000000 17700000 gneg
band hs4 p15.31 p15.31 17700000 21300000 gpos75
band hs4 p15.2 p15.2 21300000 27700000 gneg
band hs4 p15.1 p15.1 27700000 35800000 gpos100
band hs4 p14 p14 35800000 41200000 gneg
band hs4 p13 p13 41200000 44600000 gpos50
band hs4 p12 p12 44600000 48200000 gneg
band hs4 p11 p11 48200000 50000000 acen
band hs4 q11 q11 50000000 51800000 acen
band hs4 q12 q12 51800000 58500000 gneg
band hs4 q13.1 q13.1 58500000 65500000 gpos100
band hs4 q13.2 q13.2 65500000 69400000 gneg
band hs4 q13.3 q13.3 69400000 75300000 gpos75
band hs4 q21.1 q21.1 75300000 78000000 gneg
band hs4 q21.21 q21.21 78000000 81500000 gpos50
band hs4 q21.22 q21.22 81500000 83200000 gneg
band hs4 q21.23 q21.23 83200000 86000000 gpos25
band hs4 q21.3 q21.3 86000000 87100000 gneg
band hs4 q22.1 q22.1 87100000 92800000 gpos75
band hs4 q22.2 q22.2 92800000 94200000 gneg
band hs4 q22.3 q22.3 94200000 97900000 gpos75
band hs4 q23 q23 97900000 100100000 gneg
band hs4 q24 q24 100100000 106700000 gpos50
band hs4 q25 q25 106700000 113200000 gneg
band hs4 q26 q26 113200000 119900000 gpos75
band hs4 q27 q27 119900000 122800000 gneg
band hs4 q28.1 q28.1 122800000 127900000 gpos50
band hs4 q28.2 q28.2 127900000 130100000 gneg
band hs4 q28.3 q28.3 130100000 138500000 gpos100
band hs4 q31.1 q31.1 138500000 140600000 gneg
band hs4 q31.21 q31.21 140600000 145900000 gpos25
band hs4 q31.22 q31.22 145900000 147500000 gneg
band hs4 q31.23 q31.23 147500000 150200000 gpos25
band hs4 q31.3 q31.3 150200000 154600000 gneg
band hs4 q32.1 q32.1 154600000 160800000 gpos100
band hs4 q32.2 q32.2 160800000 163600000 gneg
band hs4 q32.3 q32.3 163600000 169200000 gpos100
band hs4 q33 q33 169200000 171000000 gneg
band hs4 q34.1 q34.1 171000000 175400000 gpos75
band hs4 q34.2 q34.2 175400000 176600000 gneg
band hs4 q34.3 q34.3 176600000 182300000 gpos100
band hs4 q35.1 q35.1 182300000 186200000 gneg
band hs4 q35.2 q35.2 186200000 190214555 gpos25
