chr - hs11 11 0 135086622 chr11
band hs11 p15.5 p15.5 0 2800000 gneg
band hs11 p15.4 p15.4 2800000 11700000 gpos50
band hs11 p15.3 p15.3 11700000 13800000 gneg
band hs11 p15.2 p15.2 13800000 16900000 gpos50
band hs11 p15.1 p15.1 16900000 22000000 gneg
band hs11 p14.3 p14.3 22000000 26200000 gpos100
band hs11 p14.2 p14.2 26200000 27200000 gneg
band hs11 p14.1 p14.1 27200000 31000000 gpos75
band hs11 p13 p13 31000000 36400000 gneg
band hs11 p12 p12 36400000 43400000 gpos100
band hs11 p11.2 p11.2 43400000 48800000 gneg
band hs11 p11.12 p11.12 48800000 51000000 gpos75
band hs11 p11.11 p11.11 51000000 53400000 acen
band hs11 q11 q11 53400000 55800000 acen
band hs11 q12.1 q12.1 55800000 60100000 gpos75
band hs11 q12.2 q12.2 60100000 61900000 gneg
band hs11 q12.3 q12.3 61900000 63600000 gpos25
band hs11 q13.1 q13.1 63600000 66100000 gneg
band hs11 q13.2 q13.2 66100000 68700000 gpos25
band hs11 q13.3 q13.3 68700000 70500000 gneg
band hs11 q13.4 q13.4 70500000 75500000 gpos50
band hs11 q13.5 q13.5 75500000 77400000 gneg
band hs11 q14.1 q14.1 77400000 85900000 gpos100
band hs11 q14.2 q14.2 85900000 88600000 gneg
band hs11 q14.3 q14.3 88600000 93000000 gpos100
band hs11 q21 q21 93000000 97400000 gneg
band hs11 q22.1 q22.1 97400000 102300000 gpos100
band hs11 q22.2 q22.2 102300000 103000000 gneg
band hs11 q22.3 q22.3 103000000 110600000 gpos100
band hs11 q23.1 q23.1 110600000 112700000 gneg
band hs11 q23.2 q23.2 112700000 114600000 gpos50
band hs11 q23.3 q23.3 114600000 121300000 gneg
band hs11 q24.1 q24.1 121300000 124000000 gpos50
band hs11 q24.2 q24.2 124000000 127900000 gneg
band hs11 q24.3 q24.3 127900000 130900000 gpos50
band hs11 q25 q25 130900000 135086622 gneg
