chr - hs20 20 0 64444167 chr20
band hs20 p13 p13 0 5100000 gneg
band hs20 p12.3 p12.3 5100000 9200000 gpos75
band hs20 p12.2 p12.2 9200000 12000000 gneg
band hs20 p12.1 p12.1 12000000 17900000 gpos75
band hs20 p11.23 p11.23 17900000 21300000 gneg
band hs20 p11.22 p11.22 21300000 22300000 gpos25
band hs20 p11.21 p11.21 22300000 25700000 gneg
band hs20 p11.1 p11.1 25700000 28100000 acen
band hs20 q11.1 q11.1 28100000 30400000 acen
band hs20 q11.21 q11.21 30400000 33500000 gneg
band hs20 q11.22 q11.22 33500000 35800000 gpos25
band hs20 q11.23 q11.23 35800000 39000000 gneg
band hs20 q12 q12 39000000 43100000 gpos75
band hs20 q13.11 q13.11 43100000 43500000 gneg
band hs20 q13.12 q13.12 43500000 47800000 gpos25
band hs20 q13.13 q13.13 47800000 51200000 gneg
band hs20 q13.2 q13.2 51200000 56400000 gpos75
band hs20 q13.31 q13.31 56400000 57800000 gneg
band hs20 q13.32 q13.32 57800000 59700000 gpos50
band hs20 q13.33 q13.33 59700000 64444167 gneg
