chr - hs13 13 0 114364328 chr13
band hs13 p13 p13 0 4600000 gvar
band hs13 p12 p12 4600000 10100000 stalk
band hs13 p11.2 p11.2 10100000 16500000 gvar
band hs13 p11.1 p11.1 16500000 17700000 acen
band hs13 q11 q11 17700000 18900000 acen
band hs13 q12.11 q12.11 18900000 22600000 gneg
band hs13 q12.12 q12.12 22600000 24900000 gpos25
band hs13 q12.13 q12.13 24900000 27200000 gneg
band hs13 q12.2 q12.2 27200000 28300000 gpos25
band hs13 q12.3 q12.3 28300000 31600000 gneg
band hs13 q13.1 q13.1 31600000 33400000 gpos50
band hs13 q13.2 q13.2 33400000 34900000 gneg
band hs13 q13.3 q13.3 34900000 39500000 gpos75
band hs13 q14.11 q14.11 39500000 44600000 gneg
band hs13 q14.12 q14.12 44600000 45200000 gpos25
band hs13 q14.13 q14.13 45200000 46700000 gneg
band hs13 q14.2 q14.2 46700000 50300000 gpos50
band hs13 q14.3 q14.3 50300000 54700000 gneg
band hs13 q21.1 q21.1 54700000 59000000 gpos100
band hs13 q21.2 q21.2 59000000 61800000 gneg
band hs13 q21.31 q21.31 61800000 65200000 gpos75
band hs13 q21.32 q21.32 65200000 68100000 gneg
band hs13 q21.33 q21.33 68100000 72800000 gpos100
band hs13 q22.1 q22.1 72800000 74900000 gneg
band hs13 q22.2 q22.2 74900000 76700000 gpos50
band hs13 q22.3 q22.3 76700000 78500000 gneg
band hs13 q31.1 q31.1 78500000 87100000 gpos100
band hs13 q31.2 q31.2 87100000 89400000 gneg
band hs13 q31.3 q31.3 89400000 94400000 gpos100
band hs13 q32.1 q32.1 94400000 97500000 gneg
band hs13 q32.2 q32.2 97500000 98700000 gpos25
band hs13 q32.3 q32.3 98700000 101100000 gneg
band hs13 q33.1 q33.1 101100000 104200000 gpos100
band hs13 q33.2 q33.2 104200000 106400000 gneg
band hs13 q33.3 q33.3 106400000 109600000 gpos100
band hs13 q34 q34 109600000 114364328 gneg
