chr - hs18 18 0 80373285 chr18
band hs18 p11.32 p11.32 0 2900000 gneg
band hs18 p11.31 p11.31 2900000 7200000 gpos50
band hs18 p11.23 p11.23 7200000 8500000 gneg
band hs18 p11.22 p11.22 8500000 10900000 gpos25
band hs18 p11.21 p11.21 10900000 15400000 gneg
band hs18 p11.1 p11.1 15400000 18500000 acen
band hs18 q11.1 q11.1 18500000 21500000 acen
band hs18 q11.2 q11.2 21500000 27500000 gneg
band hs18 q12.1 q12.1 27500000 35100000 gpos100
band hs18 q12.2 q12.2 35100000 39500000 gneg
band hs18 q12.3 q12.3 39500000 45900000 gpos75
band hs18 q21.1 q21.1 45900000 50700000 gneg
band hs18 q21.2 q21.2 50700000 56200000 gpos75
band hs18 q21.31 q21.31 56200000 58600000 gneg
band hs18 q21.32 q21.32 58600000 61300000 gpos50
band hs18 q21.33 q21.33 61300000 63900000 gneg
band hs18 q22.1 q22.1 63900000 69100000 gpos100
band hs18 q22.2 q22.2 69100000 71000000 gneg
band hs18 q22.3 q22.3 71000000 75400000 gpos25
band hs18 q23 q23 75400000 80373285 gneg
