chr - hs6 6 0 170805979 chr6
band hs6 p25.3 p25.3 0 2300000 gneg
band hs6 p25.2 p25.2 2300000 4200000 gpos25
band hs6 p25.1 p25.1 4200000 7100000 gneg
band hs6 p24.3 p24.3 7100000 10600000 gpos50
band hs6 p24.2 p24.2 10600000 11600000 gneg
band hs6 p24.1 p24.1 11600000 13400000 gpos25
band hs6 p23 p23 13400000 15200000 gneg
band hs6 p22.3 p22.3 15200000 25200000 gpos75
band hs6 p22.2 p22.2 25200000 27100000 gneg
band hs6 p22.1 p22.1 27100000 30500000 gpos50
band hs6 p21.33 p21.33 30500000 32100000 gneg
band hs6 p21.32 p21.32 32100000 33500000 gpos25
band hs6 p21.31 p21.31 33500000 36600000 gneg
band hs6 p21.2 p21.2 36600000 40500000 gpos25
band hs6 p21.1 p21.1 40500000 46200000 gneg
band hs6 p12.3 p12.3 46200000 51800000 gpos100
band hs6 p12.2 p12.2 51800000 53000000 gneg
band hs6 p12.1 p12.1 53000000 57200000 gpos100
band hs6 p11.2 p11.2 57200000 58500000 gneg
band hs6 p11.1 p11.1 58500000 59800000 acen
band hs6 q11.1 q11.1 59800000 62600000 acen
band hs6 q11.2 q11.2 62600000 62700000 gneg
band hs6 q12 q12 62700000 69200000 gpos100
band hs6 q13 q13 69200000 75200000 gneg
band hs6 q14.1 q14.1 75200000 83200000 gpos50
band hs6 q14.2 q14.2 83200000 84200000 gneg
band hs6 q14.3 q14.3 84200000 87300000 gpos50
band hs6 q15 q15 87300000 92500000 gneg
band hs6 q16.1 q16.1 92500000 98900000 gpos100
band hs6 q16.2 q16.2 98900000 100000000 gneg
band hs6 q16.3 q16.3 100000000 105000000 gpos100
band hs6 q21 q21 105000000 114200000 gneg
band hs6 q22.1 q22.1 114200000 117900000 gpos75
band hs6 q22.2 q22.2 117900000 118100000 gneg
band hs6 q22.31 q22.31 118100000 125800000 gpos100
band hs6 q22.32 q22.32 125800000 126800000 gneg
band hs6 q22.33 q22.33 126800000 130000000 gpos75
band hs6 q23.1 q23.1 130000000 130900000 gneg
band hs6 q23.2 q23.2 130900000 134700000 gpos50
band hs6 q23.3 q23.3 134700000 138300000 gneg
band hs6 q24.1 q24.1 138300000 142200000 gpos75
band hs6 q24.2 q24.2 142200000 145100000 gneg
band hs6 q24.3 q24.3 145100000 148500000 gpos75
band hs6 q25.1 q25.1 148500000 152100000 gneg
band hs6 q25.2 q25.2 152100000 155200000 gpos50
band hs6 q25.3 q25.3 155200000 160600000 gneg
band hs6 q26 q26 160600000 164100000 gpos50
band hs6 q27 q27 164100000 170805979 gneg
