chr - hs14 14 0 107043718 chr14
band hs14 p13 p13 0 3600000 gvar
band hs14 p12 p12 3600000 8000000 stalk
band hs14 p11.2 p11.2 8000000 16100000 gvar
band hs14 p11.1 p11.1 16100000 17200000 acen
band hs14 q11.1 q11.1 17200000 18200000 acen
band hs14 q11.2 q11.2 18200000 24100000 gneg
band hs14 q12 q12 24100000 32900000 gpos100
band hs14 q13.1 q13.1 32900000 34800000 gneg
band hs14 q13.2 q13.2 34800000 36100000 gpos50
band hs14 q13.3 q13.3 36100000 37400000 gneg
band hs14 q21.1 q21.1 37400000 43000000 gpos100
band hs14 q21.2 q21.2 43000000 46700000 gneg
band hs14 q21.3 q21.3 46700000 50400000 gpos100
band hs14 q22.1 q22.1 50400000 53600000 gneg
band hs14 q22.2 q22.2 53600000 55000000 gpos25
band hs14 q22.3 q22.3 55000000 57600000 gneg
band hs14 q23.1 q23.1 57600000 61600000 gpos75
band hs14 q23.2 q23.2 61600000 64300000 gneg
band hs14 q23.3 q23.3 64300000 67400000 gpos50
band hs14 q24.1 q24.1 67400000 69800000 gneg
band hs14 q24.2 q24.2 69800000 73300000 gpos50
band hs14 q24.3 q24.3 73300000 78800000 gneg
band hs14 q31.1 q31.1 78800000 83100000 gpos100
band hs14 q31.2 q31.2 83100000 84400000 gneg
band hs14 q31.3 q31.3 84400000 89300000 gpos100
band hs14 q32.11 q32.11 89300000 91400000 gneg
band hs14 q32.12 q32.12 91400000 94200000 gpos25
band hs14 q32.13 q32.13 94200000 95800000 gneg
band hs14 q32.2 q32.2 95800000 100900000 gpos50
band hs14 q32.31 q32.31 100900000 102700000 gneg
band hs14 q32.32 q32.32 102700000 103500000 gpos50
band hs14 q32.33 q32.33 103500000 107043718 gneg
