chr - hs12 12 0 133275309 chr12
band hs12 p13.33 p13.33 0 3200000 gneg
band hs12 p13.32 p13.32 3200000 5300000 gpos25
band hs12 p13.31 p13.31 5300000 10000000 gneg
band hs12 p13.2 p13.2 10000000 12600000 gpos75
band hs12 p13.1 p13.1 12600000 14600000 gneg
band hs12 p12.3 p12.3 14600000 19800000 gpos100
band hs12 p12.2 p12.2 19800000 21100000 gneg
band hs12 p12.1 p12.1 21100000 26300000 gpos100
band hs12 p11.23 p11.23 26300000 27600000 gneg
band hs12 p11.22 p11.22 27600000 30500000 gpos50
band hs12 p11.21 p11.21 30500000 33200000 gneg
band hs12 p11.1 p11.1 33200000 35500000 acen
band hs12 q11 q11 35500000 37800000 acen
band hs12 q12 q12 37800000 46000000 gpos100
band hs12 q13.11 q13.11 46000000 48700000 gneg
band hs12 q13.12 q13.12 48700000 51100000 gpos25
band hs12 q13.13 q13.13 51100000 54500000 gneg
band hs12 q13.2 q13.2 54500000 56200000 gpos25
band hs12 q13.3 q13.3 56200000 57700000 gneg
band hs12 q14.1 q14.1 57700000 62700000 gpos75
band hs12 q14.2 q14.2 62700000 64700000 gneg
band hs12 q14.3 q14.3 64700000 67300000 gpos50
band hs12 q15 q15 67300000 71100000 gneg
band hs12 q21.1 q21.1 71100000 75300000 gpos75
band hs12 q21.2 q21.2 75300000 79900000 gneg
band hs12 q21.31 q21.31 79900000 86300000 gpos100
band hs12 q21.32 q21.32 86300000 88600000 gneg
band hs12 q21.33 q21.33 88600000 92200000 gpos100
band hs12 q22 q22 92200000 95800000 gneg
band hs12 q23.1 q23.1 95800000 101200000 gpos75
band hs12 q23.2 q23.2 101200000 103500000 gneg
band hs12 q23.3 q23.3 103500000 108600000 gpos50
band hs12 q24.11 q24.11 108600000 111300000 gneg
band hs12 q24.12 q24.12 111300000 111900000 gpos25
band hs12 q24.13 q24.13 111900000 113900000 gneg
band hs12 q24.21 q24.21 113900000 116400000 gpos50
band hs12 q24.22 q24.22 116400000 117700000 gneg
band hs12 q24.23 q24.23 117700000 120300000 gpos50
band hs12 q24.31 q24.31 120300000 125400000 gneg
band hs12 q24.32 q24.32 125400000 128700000 gpos50
band hs12 q24.33 q24.33 128700000 133275309 gneg
