chr - hs8 8 0 145138636 chr8
band hs8 p23.3 p23.3 0 2300000 gneg
band hs8 p23.2 p23.2 2300000 6300000 gpos75
band hs8 p23.1 p23.1 6300000 12800000 gneg
band hs8 p22 p22 12800000 19200000 gpos100
band hs8 p21.3 p21.3 19200000 23500000 gneg
band hs8 p21.2 p21.2 23500000 27500000 gpos50
band hs8 p21.1 p21.1 27500000 29000000 gneg
band hs8 p12 p12 29000000 36700000 gpos75
band hs8 p11.23 p11.23 36700000 38500000 gneg
band hs8 p11.22 p11.22 38500000 39900000 gpos25
band hs8 p11.21 p11.21 39900000 43200000 gneg
band hs8 p11.1 p11.1 43200000 45200000 acen
band hs8 q11.1 q11.1 45200000 47200000 acen
band hs8 q11.21 q11.21 47200000 51300000 gneg
band hs8 q11.22 q11.22 51300000 51700000 gpos75
band hs8 q11.23 q11.23 51700000 54600000 gneg
band hs8 q12.1 q12.1 54600000 60600000 gpos50
band hs8 q12.2 q12.2 60600000 61300000 gneg
band hs8 q12.3 q12.3 61300000 65100000 gpos50
band hs8 q13.1 q13.1 65100000 67100000 gneg
band hs8 q13.2 q13.2 67100000 69600000 gpos50
band hs8 q13.3 q13.3 69600000 72000000 gneg
band hs8 q21.11 q21.11 72000000 74600000 gpos100
band hs8 q21.12 q21.12 74600000 74700000 gneg
band hs8 q21.13 q21.13 74700000 83500000 gpos75
band hs8 q21.2 q21.2 83500000 85900000 gneg
band hs8 q21.3 q21.3 85900000 92300000 gpos100
band hs8 q22.1 q22.1 92300000 97900000 gneg
band hs8 q22.2 q22.2 97900000 100500000 gpos25
band hs8 q22.3 q22.3 100500000 105100000 gneg
band hs8 q23.1 q23.1 105100000 109500000 gpos75
band hs8 q23.2 q23.2 109500000 111100000 gneg
band hs8 q23.3 q23.3 111100000 116700000 gpos100
band hs8 q24.11 q24.11 116700000 118300000 gneg
band hs8 q24.12 q24.12 118300000 121500000 gpos50
band hs8 q24.13 q24.13 121500000 126300000 gneg
band hs8 q24.21 q24.21 126300000 130400000 gpos50
band hs8 q24.22 q24.22 130400000 135400000 gneg
band hs8 q24.23 q24.23 135400000 138900000 gpos75
band hs8 q24.3 q24.3 138900000 145138636 gneg
