chr - hs5 5 0 181538259 chr5
band hs5 p15.33 p15.33 0 4400000 gneg
band hs5 p15.32 p15.32 4400000 6300000 gpos25
band hs5 p15.31 p15.31 6300000 9900000 gneg
band hs5 p15.2 p15.2 9900000 15000000 gpos50
band hs5 p15.1 p15.1 15000000 18400000 gneg
band hs5 p14.3 p14.3 18400000 23300000 gpos100
band hs5 p14.2 p14.2 23300000 24600000 gneg
band hs5 p14.1 p14.1 24600000 28900000 gpos100
band hs5 p13.3 p13.3 28900000 33800000 gneg
band hs5 p13.2 p13.2 33800000 38400000 gpos25
band hs5 p13.1 p13.1 38400000 42500000 gneg
band hs5 p12 p12 42500000 46100000 gpos50
band hs5 p11 p11 46100000 48800000 acen
band hs5 q11.1 q11.1 48800000 51400000 acen
band hs5 q11.2 q11.2 51400000 59600000 gneg
band hs5 q12.1 q12.1 59600000 63600000 gpos75
band hs5 q12.2 q12.2 63600000 63900000 gneg
band hs5 q12.3 q12.3 63900000 67400000 gpos75
band hs5 q13.1 q13.1 67400000 69100000 gneg
band hs5 q13.2 q13.2 69100000 74000000 gpos50
band hs5 q13.3 q13.3 74000000 77600000 gneg
band hs5 q14.1 q14.1 77600000 82100000 gpos50
band hs5 q14.2 q14.2 82100000 83500000 gneg
band hs5 q14.3 q14.3 83500000 93000000 gpos100
band hs5 q15 q15 93000000 98900000 gneg
band hs5 q21.1 q21.1 98900000 103400000 gpos100
band hs5 q21.2 q21.2 103400000 105100000 gneg
band hs5 q21.3 q21.3 105100000 110200000 gpos100
band hs5 q22.1 q22.1 110200000 112200000 gneg
band hs5 q22.2 q22.2 112200000 113800000 gpos50
band hs5 q22.3 q22.3 113800000 115900000 gneg
band hs5 q23.1 q23.1 115900000 122100000 gpos100
band hs5 q23.2 q23.2 122100000 127900000 gneg
band hs5 q23.3 q23.3 127900000 131200000 gpos100
band hs5 q31.1 q31.1 131200000 136900000 gneg
band hs5 q31.2 q31.2 136900000 140100000 gpos25
band hs5 q31.3 q31.3 140100000 145100000 gneg
band hs5 q32 q32 145100000 150400000 gpos75
band hs5 q33.1 q33.1 150400000 153300000 gneg
band hs5 q33.2 q33.2 153300000 156300000 gpos50
band hs5 q33.3 q33.3 156300000 160500000 gneg
band hs5 q34 q34 160500000 169000000 gpos100
band hs5 q35.1 q35.1 169000000 173300000 gneg
band hs5 q35.2 q35.2 173300000 177100000 gpos25
band hs5 q35.3 q35.3 177100000 181538259 gneg
