chr - hs22 22 0 50818468 chr22
band hs22 p13 p13 0 4300000 gvar
band hs22 p12 p12 4300000 9400000 stalk
band hs22 p11.2 p11.2 9400000 13700000 gvar
band hs22 p11.1 p11.1 13700000 15000000 acen
band hs22 q11.1 q11.1 15000000 17400000 acen
band hs22 q11.21 q11.21 17400000 21700000 gneg
band hs22 q11.22 q11.22 21700000 23100000 gpos25
band hs22 q11.23 q11.23 23100000 25500000 gneg
band hs22 q12.1 q12.1 25500000 29200000 gpos50
band hs22 q12.2 q12.2 29200000 31800000 gneg
band hs22 q12.3 q12.3 31800000 37200000 gpos50
band hs22 q13.1 q13.1 37200000 40600000 gneg
band hs22 q13.2 q13.2 40600000 43800000 gpos50
band hs22 q13.31 q13.31 43800000 48100000 gneg
band hs22 q13.32 q13.32 48100000 49100000 gpos50
band hs22 q13.33 q13.33 49100000 50818468 gneg
