chr - hs21 21 0 46709983 chr21
band hs21 p13 p13 0 3100000 gvar
band hs21 p12 p12 3100000 7000000 stalk
band hs21 p11.2 p11.2 7000000 10900000 gvar
band hs21 p11.1 p11.1 10900000 12000000 acen
band hs21 q11.1 q11.1 12000000 13000000 acen
band hs21 q11.2 q11.2 13000000 15000000 gneg
band hs21 q21.1 q21.1 15000000 22600000 gpos100
band hs21 q21.2 q21.2 22600000 25500000 gneg
band hs21 q21.3 q21.3 25500000 30200000 gpos75
band hs21 q22.11 q22.11 30200000 34400000 gneg
band hs21 q22.12 q22.12 34400000 36400000 gpos50
band hs21 q22.13 q22.13 36400000 38300000 gneg
band hs21 q22.2 q22.2 38300000 41200000 gpos50
band hs21 q22.3 q22.3 41200000 46709983 gneg
