chr - hs9 9 0 138394717 chr9
band hs9 p24.3 p24.3 0 2200000 gneg
band hs9 p24.2 p24.2 2200000 4600000 gpos25
band hs9 p24.1 p24.1 4600000 9000000 gneg
band hs9 p23 p23 9000000 14200000 gpos75
band hs9 p22.3 p22.3 14200000 16600000 gneg
band hs9 p22.2 p22.2 16600000 18500000 gpos25
band hs9 p22.1 p22.1 18500000 19900000 gneg
band hs9 p21.3 p21.3 19900000 25600000 gpos100
band hs9 p21.2 p21.2 25600000 28000000 gneg
band hs9 p21.1 p21.1 28000000 33200000 gpos100
band hs9 p13.3 p13.3 33200000 36300000 gneg
band hs9 p13.2 p13.2 36300000 37900000 gpos25
band hs9 p13.1 p13.1 37900000 39000000 gneg
band hs9 p12 p12 39000000 40000000 gpos50
band hs9 p11.2 p11.2 40000000 42200000 gneg
band hs9 p11.1 p11.1 42200000 43000000 acen
band hs9 q11 q11 43000000 45500000 acen
band hs9 q12 q12 45500000 61500000 gvar
band hs9 q13 q13 61500000 65000000 gneg
band hs9 q21.11 q21.11 65000000 69300000 gpos25
band hs9 q21.12 q21.12 69300000 71300000 gneg
band hs9 q21.13 q21.13 71300000 76600000 gpos50
band hs9 q21.2 q21.2 76600000 78500000 gneg
band hs9 q21.31 q21.31 78500000 81500000 gpos50
band hs9 q21.32 q21.32 81500000 84300000 gneg
band hs9 q21.33 q21.33 84300000 87800000 gpos50
band hs9 q22.1 q22.1 87800000 89200000 gneg
band hs9 q22.2 q22.2 89200000 91200000 gpos25
band hs9 q22.31 q22.31 91200000 93900000 gneg
band hs9 q22.32 q22.32 93900000 96500000 gpos25
band hs9 q22.33 q22.33 96500000 99800000 gneg
band hs9 q31.1 q31.1 99800000 105400000 gpos100
band hs9 q31.2 q31.2 105400000 108500000 gneg
band hs9 q31.3 q31.3 108500000 112100000 gpos25
band hs9 q32 q32 112100000 114900000 gneg
band hs9 q33.1 q33.1 114900000 119800000 gpos75
band hs9 q33.2 q33.2 119800000 123100000 gneg
band hs9 q33.3 q33.3 123100000 127500000 gpos25
band hs9 q34.11 q34.11 127500000 130600000 gneg
band hs9 q34.12 q34.12 130600000 131100000 gpos25
band hs9 q34.13 q34.13 131100000 133100000 gneg
band hs9 q34.2 q34.2 133100000 134500000 gpos25
band hs9 q34.3 q34.3 134500000 138394717 gneg
