chr - hs2 2 0 242193529 chr2
band hs2 p25.3 p25.3 0 4400000 gneg
band hs2 p25.2 p25.2 4400000 6900000 gpos50
band hs2 p25.1 p25.1 6900000 12000000 gneg
band hs2 p24.3 p24.3 12000000 16500000 gpos75
band hs2 p24.2 p24.2 16500000 19000000 gneg
band hs2 p24.1 p24.1 19000000 23800000 gpos75
band hs2 p23.3 p23.3 23800000 27700000 gneg
band hs2 p23.2 p23.2 27700000 29800000 gpos25
band hs2 p23.1 p23.1 29800000 31800000 gneg
band hs2 p22.3 p22.3 31800000 36300000 gpos75
band hs2 p22.2 p22.2 36300000 38300000 gneg
band hs2 p22.1 p22.1 38300000 41500000 gpos50
band hs2 p21 p21 41500000 47500000 gneg
band hs2 p16.3 p16.3 47500000 52600000 gpos100
band hs2 p16.2 p16.2 52600000 54700000 gneg
band hs2 p16.1 p16.1 54700000 61000000 gpos100
band hs2 p15 p15 61000000 63900000 gneg
band hs2 p14 p14 63900000 68400000 gpos50
band hs2 p13.3 p13.3 68400000 71300000 gneg
band hs2 p13.2 p13.2 71300000 73300000 gpos50
band hs2 p13.1 p13.1 73300000 74800000 gneg
band hs2 p12 p12 74800000 83100000 gpos100
band hs2 p11.2 p11.2 83100000 91800000 gneg
band hs2 p11.1 p11.1 91800000 93900000 acen
band hs2 q11.1 q11.1 93900000 96000000 acen
band hs2 q11.2 q11.2 96000000 102100000 gneg
band hs2 q12.1 q12.1 102100000 105300000 gpos50
band hs2 q12.2 q12.2 105300000 106700000 gneg
band hs2 q12.3 q12.3 106700000 108700000 gpos25
band hs2 q13 q13 108700000 112200000 gneg
band hs2 q14.1 q14.1 112200000 118100000 gpos50
band hs2 q14.2 q14.2 118100000 121600000 gneg
band hs2 q14.3 q14.3 121600000 129100000 gpos50
band hs2 q21.1 q21.1 129100000 131700000 gneg
band hs2 q21.2 q21.2 131700000 134300000 gpos25
band hs2 q21.3 q21.3 134300000 136100000 gneg
band hs2 q22.1 q22.1 136100000 141500000 gpos100
band hs2 q22.2 q22.2 141500000 143400000 gneg
band hs2 q22.3 q22.3 143400000 147900000 gpos100
band hs2 q23.1 q23.1 147900000 149000000 gneg
band hs2 q23.2 q23.2 149000000 149600000 gpos25
band hs2 q23.3 q23.3 149600000 154000000 gneg
band hs2 q24.1 q24.1 154000000 158900000 gpos75
band hs2 q24.2 q24.2 158900000 162900000 gneg
band hs2 q24.3 q24.3 162900000 168900000 gpos75
band hs2 q31.1 q31.1 168900000 177100000 gneg
band hs2 q31.2 q31.2 177100000 179700000 gpos50
band hs2 q31.3 q31.3 179700000 182100000 gneg
band hs2 q32.1 q32.1 182100000 188500000 gpos75
band hs2 q32.2 q32.2 188500000 191100000 gneg
band hs2 q32.3 q32.3 191100000 196600000 gpos75
band hs2 q33.1 q33.1 196600000 202500000 gneg
band hs2 q33.2 q33.2 202500000 204100000 gpos50
band hs2 q33.3 q33.3 204100000 208200000 gneg
band hs2 q34 q34 208200000 214500000 gpos100
band hs2 q35 q35 214500000 220700000 gneg
band hs2 q36.1 q36.1 220700000 224300000 gpos75
band hs2 q36.2 q36.2 224300000 225200000 gneg
band hs2 q36.3 q36.3 225200000 230100000 gpos100
band hs2 q37.1 q37.1 230100000 234700000 gneg
band hs2 q37.2 q37.2 234700000 236400000 gpos50
band hs2 q37.3 q37.3 236400000 242193529 gneg
