chr - hs10 10 0 133797422 chr10
band hs10 p15.3 p15.3 0 3000000 gneg
band hs10 p15.2 p15.2 3000000 3800000 gpos25
band hs10 p15.1 p15.1 3800000 6600000 gneg
band hs10 p14 p14 6600000 12200000 gpos75
band hs10 p13 p13 12200000 17300000 gneg
band hs10 p12.33 p12.33 17300000 18300000 gpos75
band hs10 p12.32 p12.32 18300000 18400000 gneg
band hs10 p12.31 p12.31 18400000 22300000 gpos75
band hs10 p12.2 p12.2 22300000 24300000 gneg
band hs10 p12.1 p12.1 24300000 29300000 gpos50
band hs10 p11.23 p11.23 29300000 31100000 gneg
band hs10 p11.22 p11.22 31100000 34200000 gpos25
band hs10 p11.21 p11.21 34200000 38000000 gneg
band hs10 p11.1 p11.1 38000000 39800000 acen
band hs10 q11.1 q11.1 39800000 41600000 acen
band hs10 q11.21 q11.21 41600000 45500000 gneg
band hs10 q11.22 q11.22 45500000 48600000 gpos25
band hs10 q11.23 q11.23 48600000 51100000 gneg
band hs10 q21.1 q21.1 51100000 59400000 gpos100
band hs10 q21.2 q21.2 59400000 62800000 gneg
band hs10 q21.3 q21.3 62800000 68800000 gpos100
band hs10 q22.1 q22.1 68800000 73100000 gneg
band hs10 q22.2 q22.2 73100000 75900000 gpos50
band hs10 q22.3 q22.3 75900000 80300000 gneg
band hs10 q23.1 q23.1 80300000 86100000 gpos100
band hs10 q23.2 q23.2 86100000 87700000 gneg
band hs10 q23.31 q23.31 87700000 91100000 gpos75
band hs10 q23.32 q23.32 91100000 92300000 gneg
band hs10 q23.33 q23.33 92300000 95300000 gpos50
band hs10 q24.1 q24.1 95300000 97500000 gneg
band hs10 q24.2 q24.2 97500000 100100000 gpos50
band hs10 q24.31 q24.31 100100000 101200000 gneg
band hs10 q24.32 q24.32 101200000 103100000 gpos25
band hs10 q24.33 q24.33 103100000 104000000 gneg
band hs10 q25.1 q25.1 104000000 110100000 gpos100
band hs10 q25.2 q25.2 110100000 113100000 gneg
band hs10 q25.3 q25.3 113100000 117300000 gpos75
band hs10 q26.11 q26.11 117300000 119900000 gneg
band hs10 q26.12 q26.12 119900000 121400000 gpos50
band hs10 q26.13 q26.13 121400000 125700000 gneg
band hs10 q26.2 q26.2 125700000 128800000 gpos50
band hs10 q26.3 q26.3 128800000 133797422 gneg
