chr - hs17 17 0 83257441 chr17
band hs17 p13.3 p13.3 0 3400000 gneg
band hs17 p13.2 p13.2 3400000 6500000 gpos50
band hs17 p13.1 p13.1 6500000 10800000 gneg
band hs17 p12 p12 10800000 16100000 gpos75
band hs17 p11.2 p11.2 16100000 22700000 gneg
band hs17 p11.1 p11.1 22700000 25100000 acen
band hs17 q11.1 q11.1 25100000 27400000 acen
band hs17 q11.2 q11.2 27400000 33500000 gneg
band hs17 q12 q12 33500000 39800000 gpos50
band hs17 q21.1 q21.1 39800000 40200000 gneg
band hs17 q21.2 q21.2 40200000 42800000 gpos25
band hs17 q21.31 q21.31 42800000 46800000 gneg
band hs17 q21.32 q21.32 46800000 49300000 gpos25
band hs17 q21.33 q21.33 49300000 52100000 gneg
band hs17 q22 q22 52100000 59500000 gpos75
band hs17 q23.1 q23.1 59500000 60200000 gneg
band hs17 q23.2 q23.2 60200000 63100000 gpos75
band hs17 q23.3 q23.3 63100000 64600000 gneg
band hs17 q24.1 q24.1 64600000 66200000 gpos50
band hs17 q24.2 q24.2 66200000 69100000 gneg
band hs17 q24.3 q24.3 69100000 72900000 gpos75
band hs17 q25.1 q25.1 72900000 76800000 gneg
band hs17 q25.2 q25.2 76800000 77200000 gpos25
band hs17 q25.3 q25.3 77200000 83257441 gneg
