chr - hs7 7 0 159345973 chr7
band hs7 p22.3 p22.3 0 2800000 gneg
band hs7 p22.2 p22.2 2800000 4500000 gpos25
band hs7 p22.1 p22.1 4500000 7200000 gneg
band hs7 p21.3 p21.3 7200000 13700000 gpos100
band hs7 p21.2 p21.2 13700000 16500000 gneg
band hs7 p21.1 p21.1 16500000 20900000 gpos100
band hs7 p15.3 p15.3 20900000 25500000 gneg
band hs7 p15.2 p15.2 25500000 27900000 gpos50
band hs7 p15.1 p15.1 27900000 28800000 gneg
band hs7 p14.3 p14.3 28800000 34900000 gpos75
band hs7 p14.2 p14.2 34900000 37100000 gneg
band hs7 p14.1 p14.1 37100000 43300000 gpos75
band hs7 p13 p13 43300000 45400000 gneg
band hs7 p12.3 p12.3 45400000 49000000 gpos75
band hs7 p12.2 p12.2 49000000 50500000 gneg
band hs7 p12.1 p12.1 50500000 53900000 gpos75
band hs7 p11.2 p11.2 53900000 58100000 gneg
band hs7 p11.1 p11.1 58100000 60100000 acen
band hs7 q11.1 q11.1 60100000 62100000 acen
band hs7 q11.21 q11.21 62100000 67500000 gneg
band hs7 q11.22 q11.22 67500000 72700000 gpos50
band hs7 q11.23 q11.23 72700000 77900000 gneg
band hs7 q21.11 q21.11 77900000 86700000 gpos100
band hs7 q21.12 q21.12 86700000 88500000 gneg
band hs7 q21.13 q21.13 88500000 91500000 gpos75
band hs7 q21.2 q21.2 91500000 93300000 gneg
band hs7 q21.3 q21.3 93300000 98400000 gpos75
band hs7 q22.1 q22.1 98400000 104200000 gneg
band hs7 q22.2 q22.2 104200000 104900000 gpos50
band hs7 q22.3 q22.3 104900000 107800000 gneg
band hs7 q31.1 q31.1 107800000 115000000 gpos75
band hs7 q31.2 q31.2 115000000 117700000 gneg
band hs7 q31.31 q31.31 117700000 121400000 gpos75
band hs7 q31.32 q31.32 121400000 124100000 gneg
band hs7 q31.33 q31.33 124100000 127500000 gpos75
band hs7 q32.1 q32.1 127500000 129600000 gneg
band hs7 q32.2 q32.2 129600000 130800000 gpos25
band hs7 q32.3 q32.3 130800000 132900000 gneg
band hs7 q33 q33 132900000 138500000 gpos50
band hs7 q34 q34 138500000 143400000 gneg
band hs7 q35 q35 143400000 148200000 gpos75
band hs7 q36.1 q36.1 148200000 152800000 gneg
band hs7 q36.2 q36.2 152800000 155200000 gpos25
band hs7 q36.3 q36.3 155200000 159345973 gneg
