chr - hs3 3 0 198295559 chr3
band hs3 p26.3 p26.3 0 2800000 gpos50
band hs3 p26.2 p26.2 2800000 4000000 gneg
band hs3 p26.1 p26.1 4000000 8100000 gpos50
band hs3 p25.3 p25.3 8100000 11600000 gneg
band hs3 p25.2 p25.2 11600000 13200000 gpos25
band hs3 p25.1 p25.1 13200000 16300000 gneg
band hs3 p24.3 p24.3 16300000 23800000 gpos100
band hs3 p24.2 p24.2 23800000 26300000 gneg
band hs3 p24.1 p24.1 26300000 30800000 gpos75
band hs3 p23 p23 30800000 32000000 gneg
band hs3 p22.3 p22.3 32000000 36400000 gpos50
band hs3 p22.2 p22.2 36400000 39300000 gneg
band hs3 p22.1 p22.1 39300000 43600000 gpos75
band hs3 p21.33 p21.33 43600000 44100000 gneg
band hs3 p21.32 p21.32 44100000 44200000 gpos50
band hs3 p21.31 p21.31 44200000 50600000 gneg
band hs3 p21.2 p21.2 50600000 52300000 gpos25
band hs3 p21.1 p21.1 52300000 54400000 gneg
band hs3 p14.3 p14.3 54400000 58600000 gpos50
band hs3 p14.2 p14.2 58600000 63800000 gneg
band hs3 p14.1 p14.1 63800000 69700000 gpos50
band hs3 p13 p13 69700000 74100000 gneg
band hs3 p12.3 p12.3 74100000 79800000 gpos75
band hs3 p12.2 p12.2 79800000 83500000 gneg
band hs3 p12.1 p12.1 83500000 87100000 gpos75
band hs3 p11.2 p11.2 87100000 87800000 gneg
band hs3 p11.1 p11.1 87800000 90900000 acen
band hs3 q11.1 q11.1 90900000 94000000 acen
band hs3 q11.2 q11.2 94000000 98600000 gvar
band hs3 q12.1 q12.1 98600000 100300000 gneg
band hs3 q12.2 q12.2 100300000 101200000 gpos25
band hs3 q12.3 q12.3 101200000 103100000 gneg
band hs3 q13.11 q13.11 103100000 106500000 gpos75
band hs3 q13.12 q13.12 106500000 108200000 gneg
band hs3 q13.13 q13.13 108200000 111600000 gpos50
band hs3 q13.2 q13.2 111600000 113700000 gneg
band hs3 q13.31 q13.31 113700000 117600000 gpos75
band hs3 q13.32 q13.32 117600000 119300000 gneg
band hs3 q13.33 q13.33 119300000 122200000 gpos75
band hs3 q21.1 q21.1 122200000 124100000 gneg
band hs3 q21.2 q21.2 124100000 126100000 gpos25
band hs3 q21.3 q21.3 126100000 129500000 gneg
band hs3 q22.1 q22.1 129500000 134000000 gpos25
band hs3 q22.2 q22.2 134000000 136000000 gneg
band hs3 q22.3 q22.3 136000000 139000000 gpos25
band hs3 q23 q23 139000000 143100000 gneg
band hs3 q24 q24 143100000 149200000 gpos100
band hs3 q25.1 q25.1 149200000 152300000 gneg
band hs3 q25.2 q25.2 152300000 155300000 gpos50
band hs3 q25.31 q25.31 155300000 157300000 gneg
band hs3 q25.32 q25.32 157300000 159300000 gpos50
band hs3 q25.33 q25.33 159300000 161000000 gneg
band hs3 q26.1 q26.1 161000000 167900000 gpos100
band hs3 q26.2 q26.2 167900000 171200000 gneg
band hs3 q26.31 q26.31 171200000 176000000 gpos75
band hs3 q26.32 q26.32 176000000 179300000 gneg
band hs3 q26.33 q26.33 179300000 183000000 gpos75
band hs3 q27.1 q27.1 183000000 184800000 gneg
band hs3 q27.2 q27.2 184800000 186300000 gpos25
band hs3 q27.3 q27.3 186300000 188200000 gneg
band hs3 q28 q28 188200000 192600000 gpos75
band hs3 q29 q29 192600000 198295559 gneg
